connect:socket.fyers.in/hsm/v1-5/prod
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/Users/em997/Documents/Fyers/Backend/sdks/fyers-java-sdk-internal/target/dependency/hsjavalib-2.1.0-v1.5-22.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/Users/em997/Documents/Fyers/Backend/sdks/fyers-java-sdk-internal/repo/in/tts/hsjavalib/2.1.0-v1.5-22/hsjavalib-2.1.0-v1.5-22.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
2025-11-28 10:34:21.379 INFO  [main] App3:56 - Loop 0: Subscribing [NSE:AMBUJACEM-EQ, NSE:BERGEPAINT-EQ, NSE:COLPAL-EQ, NSE:DABUR-EQ]
2025-11-28 10:34:22.428 INFO  [WebSocketConnectReadThread-14] App3:146 - Loop 0: On Message: {"code":200,"type":"cn","message":"Authentication done"}
2025-11-28 10:34:22.429 INFO  [WebSocketConnectReadThread-14] App3:123 - Loop 0: On open: HSM Connected
2025-11-28 10:34:22.850 INFO  [WebSocketConnectReadThread-14] App3:146 - Loop 0: On Message: {"code":200,"type":"full","message":"Full Mode On"}
2025-11-28 10:34:22.850 INFO  [WebSocketConnectReadThread-14] App3:146 - Loop 0: On Message: {"code":200,"subscribed_symbols":["NSE:AMBUJACEM-EQ","NSE:BERGEPAINT-EQ","NSE:COLPAL-EQ","NSE:DABUR-EQ"],"type":"sub","message":"Successfully subscribed"}
Loop    0: @10:34:22:906, quote : {"vol_traded_today":"127364","symbol":"NSE:AMBUJACEM-EQ","ask_size":"269","ch":"3.05","high_price":"551.85","exch_feed_time":"1764306262","ltp":"551.75","chp":"0.56","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.75","Ylow":"45500","tot_sell_qty":"289476","bid_size":"750","last_traded_qty":"5","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316347","turnover":"6996104520","last_traded_time":"1764306251","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:22:908, quote : {"vol_traded_today":"23580","symbol":"NSE:COLPAL-EQ","ask_size":"20","ch":"-4.0","high_price":"2175.2","exch_feed_time":"1764306262","ltp":"2167.3","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.53","ask_price":"2167.3","Ylow":"214780","tot_sell_qty":"53907","bid_size":"19","last_traded_qty":"1","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53203","turnover":"5118109740","last_traded_time":"1764306254","bid_price":"2166.2","prev_close_price":"2171.3"}
Loop    0: @10:34:22:908, quote : {"vol_traded_today":"26813","symbol":"NSE:BERGEPAINT-EQ","ask_size":"35","ch":"-4.1","high_price":"570.5","exch_feed_time":"1764306239","ltp":"566.75","chp":"-0.72","Yhigh":"60500","type":"sf","avg_trade_price":"567.47","ask_price":"566.75","Ylow":"43775","tot_sell_qty":"47748","bid_size":"1","last_traded_qty":"1","low_price":"565.7","open_price":"566.25","tot_buy_qty":"17899","turnover":"1521557311","last_traded_time":"1764306216","bid_price":"566.35","prev_close_price":"570.85"}
Loop    0: @10:34:22:908, quote : {"vol_traded_today":"95328","symbol":"NSE:DABUR-EQ","ask_size":"652","ch":"-3.55","high_price":"520.45","exch_feed_time":"1764306261","ltp":"515.6","chp":"-0.68","Yhigh":"57700","type":"sf","avg_trade_price":"517.17","ask_price":"515.85","Ylow":"43330","tot_sell_qty":"309827","bid_size":"454","last_traded_qty":"17","low_price":"515.15","open_price":"520.45","tot_buy_qty":"272063","turnover":"4930078176","last_traded_time":"1764306241","bid_price":"515.6","prev_close_price":"519.15"}
Loop    0: @10:34:26:224, quote : {"vol_traded_today":"127369","symbol":"NSE:AMBUJACEM-EQ","ask_size":"264","ch":"3.05","high_price":"551.85","exch_feed_time":"1764306265","ltp":"551.75","chp":"0.56","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.75","Ylow":"45500","tot_sell_qty":"289626","bid_size":"750","last_traded_qty":"5","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316505","turnover":"6996379170","last_traded_time":"1764306261","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:26:225, quote : {"vol_traded_today":"23588","symbol":"NSE:COLPAL-EQ","ask_size":"5","ch":"-4.0","high_price":"2175.2","exch_feed_time":"1764306265","ltp":"2167.3","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.3","Ylow":"214780","tot_sell_qty":"54072","bid_size":"18","last_traded_qty":"2","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53448","turnover":"5119822576","last_traded_time":"1764306265","bid_price":"2166.4","prev_close_price":"2171.3"}
Loop    0: @10:34:26:719, quote : {"vol_traded_today":"26813","symbol":"NSE:BERGEPAINT-EQ","ask_size":"35","ch":"-4.1","high_price":"570.5","exch_feed_time":"1764306265","ltp":"566.75","chp":"-0.72","Yhigh":"60500","type":"sf","avg_trade_price":"567.47","ask_price":"566.75","Ylow":"43775","tot_sell_qty":"47749","bid_size":"1","last_traded_qty":"1","low_price":"565.7","open_price":"566.25","tot_buy_qty":"17876","turnover":"1521557311","last_traded_time":"1764306216","bid_price":"566.35","prev_close_price":"570.85"}
Loop    0: @10:34:27:386, quote : {"vol_traded_today":"95328","symbol":"NSE:DABUR-EQ","ask_size":"652","ch":"-3.55","high_price":"520.45","exch_feed_time":"1764306266","ltp":"515.6","chp":"-0.68","Yhigh":"57700","type":"sf","avg_trade_price":"517.17","ask_price":"515.85","Ylow":"43330","tot_sell_qty":"309827","bid_size":"454","last_traded_qty":"17","low_price":"515.15","open_price":"520.45","tot_buy_qty":"272193","turnover":"4930078176","last_traded_time":"1764306241","bid_price":"515.6","prev_close_price":"519.15"}
2025-11-28 10:34:27.805 INFO  [main] App3:80 - Loop 0: Sleep for 5 minutes. 
Loop    0: @10:34:30:968, quote : {"vol_traded_today":"127369","symbol":"NSE:AMBUJACEM-EQ","ask_size":"345","ch":"3.05","high_price":"551.85","exch_feed_time":"1764306270","ltp":"551.75","chp":"0.56","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.75","Ylow":"45500","tot_sell_qty":"287598","bid_size":"750","last_traded_qty":"5","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316839","turnover":"6996379170","last_traded_time":"1764306261","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:30:968, quote : {"vol_traded_today":"23588","symbol":"NSE:COLPAL-EQ","ask_size":"5","ch":"-4.0","high_price":"2175.2","exch_feed_time":"1764306270","ltp":"2167.3","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.3","Ylow":"214780","tot_sell_qty":"54073","bid_size":"5","last_traded_qty":"2","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53439","turnover":"5119822576","last_traded_time":"1764306265","bid_price":"2166.4","prev_close_price":"2171.3"}
Loop    0: @10:34:32:208, quote : {"vol_traded_today":"26813","symbol":"NSE:BERGEPAINT-EQ","ask_size":"35","ch":"-4.1","high_price":"570.5","exch_feed_time":"1764306271","ltp":"566.75","chp":"-0.72","Yhigh":"60500","type":"sf","avg_trade_price":"567.47","ask_price":"566.75","Ylow":"43775","tot_sell_qty":"47728","bid_size":"1","last_traded_qty":"1","low_price":"565.7","open_price":"566.25","tot_buy_qty":"17876","turnover":"1521557311","last_traded_time":"1764306216","bid_price":"566.35","prev_close_price":"570.85"}
